iter	Passed	Remaining
0	22	11080
1	46	11590
2	72	11973
3	94	11734
4	117	11583
5	139	11479
6	161	11396
7	184	11364
8	209	11412
9	233	11420
10	259	11548
11	282	11487
12	307	11530
13	331	11518
14	355	11486
15	380	11513
16	405	11511
17	429	11495
18	450	11404
19	472	11347
20	496	11335
21	520	11305
22	543	11272
23	568	11265
24	592	11258
25	616	11232
26	641	11230
27	666	11229
28	690	11213
29	714	11187
30	738	11178
31	760	11118
32	783	11087
33	807	11068
34	831	11040
35	856	11039
36	878	10992
37	903	10986
38	925	10945
39	952	10952
40	975	10922
41	982	10711
42	1005	10690
43	1032	10698
44	1055	10669
45	1078	10640
46	1102	10626
47	1125	10597
48	1149	10575
49	1172	10554
50	1196	10530
51	1218	10497
52	1243	10484
53	1265	10453
54	1290	10438
55	1315	10430
56	1338	10402
57	1362	10382
58	1386	10365
59	1409	10337
60	1434	10322
61	1459	10307
62	1481	10278
63	1505	10256
64	1530	10245
65	1554	10218
66	1577	10197
67	1601	10172
68	1624	10144
69	1649	10132
70	1674	10116
71	1697	10089
72	1722	10074
73	1744	10040
74	1769	10026
75	1794	10012
76	1819	9996
77	1843	9974
78	1868	9956
79	1891	9930
80	1915	9906
81	1939	9886
82	1962	9859
83	1986	9835
84	2007	9801
85	2034	9795
86	2059	9778
87	2083	9756
88	2105	9724
89	2131	9709
90	2154	9685
91	2180	9671
92	2204	9648
93	2228	9624
94	2251	9598
95	2275	9575
96	2299	9554
97	2321	9523
98	2346	9502
99	2369	9479
100	2395	9463
101	2420	9442
102	2444	9420
103	2469	9402
104	2492	9376
105	2515	9349
106	2539	9328
107	2564	9306
108	2588	9284
109	2610	9254
110	2632	9225
111	2654	9197
112	2678	9172
113	2702	9148
114	2724	9122
115	2748	9098
116	2771	9072
117	2795	9050
118	2818	9022
119	2841	8997
120	2865	8976
121	2889	8952
122	2914	8931
123	2940	8915
124	2964	8892
125	2987	8866
126	3010	8840
127	3034	8819
128	3059	8797
129	3082	8772
130	3104	8745
131	3127	8720
132	3152	8698
133	3176	8675
134	3199	8649
135	3222	8624
136	3245	8600
137	3267	8571
138	3290	8546
139	3312	8518
140	3338	8500
141	3360	8471
142	3382	8443
143	3406	8420
144	3428	8395
145	3450	8366
146	3474	8342
147	3495	8314
148	3518	8289
149	3541	8262
150	3564	8238
151	3587	8213
152	3611	8189
153	3635	8167
154	3659	8144
155	3681	8118
156	3706	8097
157	3731	8076
158	3756	8056
159	3780	8033
160	3803	8009
161	3826	7984
162	3848	7957
163	3871	7931
164	3893	7904
165	3913	7875
166	3937	7851
167	3962	7830
168	3964	7765
169	3988	7741
170	4011	7717
171	4035	7694
172	4058	7671
173	4081	7646
174	4104	7622
175	4127	7597
176	4149	7572
177	4172	7547
178	4195	7524
179	4219	7501
180	4241	7475
181	4265	7453
182	4286	7426
183	4310	7402
184	4334	7380
185	4356	7354
186	4378	7328
187	4399	7301
188	4422	7276
189	4444	7250
190	4468	7228
191	4490	7203
192	4512	7178
193	4535	7154
194	4546	7111
195	4567	7084
196	4592	7062
197	4615	7039
198	4639	7017
199	4663	6995
200	4686	6972
201	4712	6951
202	4735	6928
203	4760	6907
204	4784	6885
205	4809	6864
206	4832	6840
207	4855	6816
208	4877	6791
209	4900	6767
210	4924	6744
211	4946	6720
212	4969	6696
213	4993	6673
214	5016	6650
215	5038	6625
216	5062	6601
217	5086	6579
218	5109	6556
219	5131	6530
220	5155	6507
221	5178	6484
222	5200	6459
223	5224	6436
224	5246	6412
225	5268	6387
226	5290	6362
227	5314	6340
228	5335	6314
229	5358	6289
230	5381	6267
231	5406	6245
232	5431	6223
233	5453	6199
234	5480	6179
235	5505	6158
236	5528	6135
237	5551	6111
238	5576	6090
239	5601	6067
240	5624	6044
241	5646	6020
242	5651	5977
243	5674	5953
244	5695	5928
245	5720	5906
246	5745	5885
247	5767	5860
248	5789	5835
249	5813	5813
250	5835	5788
251	5860	5767
252	5882	5742
253	5905	5719
254	5930	5697
255	5953	5674
256	5978	5653
257	6003	5630
258	6025	5606
259	6050	5584
260	6074	5562
261	6096	5537
262	6120	5515
263	6144	5492
264	6166	5468
265	6190	5445
266	6213	5421
267	6237	5399
268	6263	5378
269	6286	5355
270	6309	5331
271	6333	5309
272	6357	5286
273	6380	5262
274	6403	5239
275	6427	5216
276	6450	5192
277	6472	5168
278	6495	5144
279	6519	5122
280	6544	5100
281	6566	5076
282	6589	5052
283	6613	5029
284	6635	5005
285	6658	4982
286	6682	4959
287	6705	4936
288	6729	4913
289	6754	4890
290	6777	4867
291	6800	4843
292	6823	4820
293	6846	4797
294	6868	4773
295	6892	4750
296	6913	4725
297	6937	4702
298	6962	4680
299	6985	4657
300	7009	4633
301	7033	4611
302	7056	4587
303	7079	4564
304	7102	4541
305	7125	4517
306	7150	4495
307	7176	4473
308	7200	4450
309	7222	4426
310	7247	4404
311	7268	4380
312	7292	4356
313	7314	4332
314	7336	4308
315	7360	4285
316	7381	4261
317	7406	4238
318	7428	4214
319	7450	4191
320	7475	4168
321	7498	4145
322	7522	4122
323	7547	4099
324	7572	4077
325	7595	4054
326	7618	4030
327	7642	4007
328	7665	3984
329	7689	3961
330	7711	3937
331	7736	3914
332	7761	3892
333	7785	3869
334	7808	3846
335	7831	3822
336	7852	3798
337	7876	3775
338	7900	3752
339	7923	3728
340	7946	3705
341	7971	3682
342	7995	3659
343	8018	3636
344	8042	3613
345	8065	3589
346	8089	3566
347	8112	3543
348	8137	3520
349	8159	3497
350	8182	3473
351	8206	3450
352	8230	3427
353	8252	3403
354	8277	3380
355	8302	3358
356	8326	3335
357	8348	3311
358	8373	3288
359	8396	3265
360	8419	3241
361	8445	3219
362	8469	3196
363	8493	3173
364	8516	3149
365	8541	3127
366	8565	3104
367	8588	3080
368	8613	3057
369	8637	3034
370	8663	3012
371	8688	2989
372	8711	2966
373	8735	2942
374	8759	2919
375	8782	2896
376	8807	2873
377	8832	2850
378	8854	2826
379	8878	2803
380	8885	2775
381	8911	2752
382	8933	2728
383	8957	2705
384	8980	2682
385	9017	2663
386	9051	2642
387	9077	2620
388	9102	2597
389	9127	2574
390	9152	2551
391	9175	2527
392	9197	2504
393	9220	2480
394	9243	2457
395	9265	2433
396	9288	2409
397	9312	2386
398	9335	2363
399	9359	2339
400	9382	2316
401	9406	2293
402	9429	2269
403	9453	2246
404	9475	2222
405	9499	2199
406	9524	2176
407	9547	2152
408	9569	2129
409	9591	2105
410	9615	2082
411	9638	2058
412	9661	2035
413	9686	2012
414	9712	1989
415	9736	1965
416	9758	1942
417	9780	1918
418	9807	1895
419	9830	1872
420	9855	1849
421	9878	1825
422	9902	1802
423	9926	1779
424	9949	1755
425	9973	1732
426	9997	1709
427	10020	1685
428	10044	1662
429	10067	1638
430	10091	1615
431	10113	1591
432	10135	1568
433	10158	1544
434	10181	1521
435	10205	1498
436	10228	1474
437	10252	1451
438	10274	1427
439	10295	1403
440	10320	1380
441	10345	1357
442	10368	1334
443	10392	1310
444	10416	1287
445	10439	1263
446	10462	1240
447	10485	1217
448	10506	1193
449	10529	1169
450	10553	1146
451	10575	1123
452	10598	1099
453	10621	1076
454	10643	1052
455	10666	1029
456	10688	1005
457	10712	982
458	10734	958
459	10759	935
460	10780	912
461	10804	888
462	10825	865
463	10848	841
464	10870	818
465	10895	794
466	10918	771
467	10940	748
468	10964	724
469	10988	701
470	11012	678
471	11036	654
472	11059	631
473	11081	607
474	11105	584
475	11127	561
476	11151	537
477	11173	514
478	11198	490
479	11218	467
480	11241	444
481	11263	420
482	11286	397
483	11309	373
484	11333	350
485	11356	327
486	11380	303
487	11404	280
488	11426	257
489	11449	233
490	11471	210
491	11495	186
492	11517	163
493	11542	140
494	11564	116
495	11589	93
496	11611	70
497	11635	46
498	11660	23
499	11683	0
